"Name","OS","CPU","Memory","Host","BladeTotalCores","BladeTotalRAM","Cluster"
"isse-VSEU-UAT-ADS002","Microsoft Windows Server 2012 (64-bit)","2","4096","housu161.oamp.sgns.net","16","204742.0390625","isse-2"
"isse-VSEU-UAT-ADS001","Microsoft Windows Server 2012 (64-bit)","2","4096","housu161.oamp.sgns.net","16","204742.0390625","isse-2"
"isse-VSEU-UAT-FSW001","Microsoft Windows Server 2012 (64-bit)","2","2048","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VSEU-UAT-DBW001","Microsoft Windows Server 2008 (64-bit)","16","92160","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VSEU-UAT-FTP001","Red Hat Enterprise Linux 5 (64-bit)","2","2048","housu161.oamp.sgns.net","16","204742.0390625","isse-2"
"isse-VSEU-UAT-MSC001","Red Hat Enterprise Linux 5 (64-bit)","4","8192","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VSEU-UAT-WEB001","Red Hat Enterprise Linux 5 (64-bit)","2","4096","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VSEU-UAT-DBX001","Red Hat Enterprise Linux 5 (64-bit)","4","16384","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VSEU-UAT-TMC001","Red Hat Enterprise Linux 5 (64-bit)","2","2048","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-bc-633-prd-cx01","CentOS 4/5/6 (64-bit)","4","8192","housu161.oamp.sgns.net","16","204742.0390625","isse-2"
"isse-VSEU-UAT-WEB002","Red Hat Enterprise Linux 5 (64-bit)","2","4096","housu161.oamp.sgns.net","16","204742.0390625","isse-2"
"isse-VSEU-UAT-REP001","Red Hat Enterprise Linux 5 (64-bit)","2","2048","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VSEU-UAT-TMC002","Red Hat Enterprise Linux 5 (64-bit)","2","8192","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VSEU-UAT-TMC003","Red Hat Enterprise Linux 5 (64-bit)","2","8192","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VSEU-UAT-TMC004","Red Hat Enterprise Linux 5 (64-bit)","2","8192","housu161.oamp.sgns.net","16","204742.0390625","isse-2"
"isse-VSEU-UAT-TMC005","Red Hat Enterprise Linux 5 (64-bit)","2","8192","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VSEU-UAT-TMC006","Red Hat Enterprise Linux 5 (64-bit)","2","8192","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VSEU-UAT-FTP002","Red Hat Enterprise Linux 5 (64-bit)","2","2048","housu161.oamp.sgns.net","16","204742.0390625","isse-2"
"isse-VSEU-UAT-TMC007","Red Hat Enterprise Linux 5 (64-bit)","2","8192","housu161.oamp.sgns.net","16","204742.0390625","isse-2"
