"Name","ConnectionState","PowerState","Cluster"
"housu187.oamp.sgns.net","Connected","PoweredOn","su4a-1"
"housu195.oamp.sgns.net","Connected","PoweredOn","su4a-1"
"housu157.oamp.sgns.net","Maintenance","PoweredOn","HostInventory"
"housu185.oamp.sgns.net","Maintenance","PoweredOn","HostInventory"
"housu177.oamp.sgns.net","Maintenance","PoweredOn","HostInventory"
"housu193.oamp.sgns.net","Maintenance","PoweredOn","HostInventory"
"housu149.oamp.sgns.net","Connected","PoweredOn","HostInventory"
"housu155.oamp.sgns.net","Connected","PoweredOn","su6d-2"
"housu163.oamp.sgns.net","Connected","PoweredOn","su6d-2"
"housu171.oamp.sgns.net","Maintenance","PoweredOn","spsp-2"
"housu179.oamp.sgns.net","Maintenance","PoweredOn","spsp-2"
"housu153.oamp.sgns.net","Connected","PoweredOn","isse-2"
"housu161.oamp.sgns.net","Connected","PoweredOn","isse-2"
"housu169.oamp.sgns.net","Connected","PoweredOn","isse-2"
"woksu187.oamp.sgns.net","Connected","PoweredOn","su4a-1"
"woksu195.oamp.sgns.net","Connected","PoweredOn","su4a-1"
"woksu155.oamp.sgns.net","Connected","PoweredOn","su6d-1"
"woksu163.oamp.sgns.net","Connected","PoweredOn","su6d-1"
"woksu185.oamp.sgns.net","Maintenance","PoweredOn","HostInventory"
"woksu149.oamp.sgns.net","Connected","PoweredOn","HostInventory"
"woksu193.oamp.sgns.net","Maintenance","PoweredOn","HostInventory"
"woksu157.oamp.sgns.net","Maintenance","PoweredOn","HostInventory"
"woksu177.oamp.sgns.net","Maintenance","PoweredOn","HostInventory"
"woksu179.oamp.sgns.net","Connected","PoweredOn","spsp-1"
"woksu171.oamp.sgns.net","Connected","PoweredOn","spsp-1"
"woksu161.oamp.sgns.net","Connected","PoweredOn","isse-1"
"woksu169.oamp.sgns.net","Connected","PoweredOn","isse-1"
"woksu153.oamp.sgns.net","Connected","PoweredOn","isse-1"
"housu69.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu79.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu71.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu127.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu119.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu111.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu103.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu95.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu73.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu87.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu81.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu77.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu89.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu93.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu85.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu97.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu101.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu109.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu117.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu125.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu113.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu105.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu121.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu129.oamp.sgns.net","Connected","PoweredOn","pod1cluster1"
"housu78.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu102.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu110.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu70.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu118.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu86.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu120.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu88.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu126.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu94.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu72.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu80.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu90.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu98.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu104.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu122.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu112.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu96.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu128.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu82.oamp.sgns.net","Connected","PoweredOn","pod1cluster2"
"housu197.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu205.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu207.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu213.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu215.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu221.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu223.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu229.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu231.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu237.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu239.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu201.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu203.oamp.sgns.net","Maintenance","PoweredOn","pod3cluster1"
"housu209.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu217.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu219.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu225.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu233.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu241.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu211.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu227.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu235.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu243.oamp.sgns.net","Connected","PoweredOn","pod3cluster1"
"housu198.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu200.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu206.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu208.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
"housu214.oamp.sgns.net","Connected","PoweredOn","pod3cluster2"
