"Name","Power","OS","CPU","Memory","Host","BladeTotalCores","BladeTotalRAM","Cluster"
"isse-VPEU-PRD-FTP002","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","2048","woksu161.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VSEU-UAT-ADS002","PoweredOn","Microsoft Windows Server 2012 (64-bit)","2","4096","housu161.oamp.sgns.net","16","204742.0390625","isse-2"
"isse-VPEU-PRD-MSC001","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","4","8192","woksu161.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VPEU-PRD-REP001","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","2048","woksu161.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VPEU-PRD-TMC001","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","2048","woksu161.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VPEU-PRD-TMC002","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","8192","woksu169.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VPEU-PRD-MSC501","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","2048","woksu169.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VPEU-PRD-FSL002","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","2048","woksu169.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VPEU-PRD-WEB002","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","4096","woksu169.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VPEU-PRD-TMC003","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","8192","woksu161.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VPEU-PRD-NWK001","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","2048","woksu161.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VPEU-PRD-NWK002","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","2048","woksu169.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VSEU-UAT-ADS001","PoweredOn","Microsoft Windows Server 2012 (64-bit)","2","4096","housu161.oamp.sgns.net","16","204742.0390625","isse-2"
"isse-VPEU-PRD-TMC004","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","8192","woksu169.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VSEU-UAT-FSW001","PoweredOn","Microsoft Windows Server 2012 (64-bit)","2","2048","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VPEU-PRD-TMC006","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","8192","woksu161.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VSEU-UAT-DBW001","PoweredOn","Microsoft Windows Server 2008 (64-bit)","16","92160","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VPEU-PRD-TMC008","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","2048","woksu161.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VSEU-UAT-FTP001","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","2048","housu161.oamp.sgns.net","16","204742.0390625","isse-2"
"isse-VPEU-PRD-NWK201","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","4096","woksu161.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VSEU-UAT-MSC001","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","4","8192","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
"isse-VPEU-PRD-NWK202","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","2048","woksu169.oamp.sgns.net","16","196550.0390625","isse-1"
"isse-VSEU-UAT-WEB001","PoweredOn","Red Hat Enterprise Linux 5 (64-bit)","2","4096","housu153.oamp.sgns.net","16","196550.0390625","isse-2"
